method,category,sparsity,accuracy,correct,total
oracle_gate,irrelevance,0.0,0.8916666666666667,214,240
oracle_gate,live_irrelevance,0.0,0.8665158371040724,766,884
oracle_gate,live_multiple,0.0,0.7635327635327636,804,1053
oracle_gate,live_parallel,0.0,0.875,14,16
oracle_gate,live_parallel_multiple,0.0,0.5416666666666666,13,24
oracle_gate,live_relevance,0.0,0.75,12,16
oracle_gate,live_simple,0.0,0.8217054263565892,212,258
oracle_gate,multiple,0.0,0.935,187,200
oracle_gate,parallel,0.0,0.875,175,200
oracle_gate,parallel_multiple,0.0,0.885,177,200
oracle_gate,simple_java,0.0,0.65,65,100
oracle_gate,simple_javascript,0.0,0.78,39,50
oracle_gate,simple_python,0.0,0.8925,357,400
oracle_gate,irrelevance,0.5,0.8916666666666667,214,240
oracle_gate,live_irrelevance,0.5,0.8585972850678733,759,884
oracle_gate,live_multiple,0.5,0.7559354226020892,796,1053
oracle_gate,live_parallel,0.5,0.8125,13,16
oracle_gate,live_parallel_multiple,0.5,0.5416666666666666,13,24
oracle_gate,live_relevance,0.5,0.8125,13,16
oracle_gate,live_simple,0.5,0.813953488372093,210,258
oracle_gate,multiple,0.5,0.925,185,200
oracle_gate,parallel,0.5,0.865,173,200
oracle_gate,parallel_multiple,0.5,0.885,177,200
oracle_gate,simple_java,0.5,0.66,66,100
oracle_gate,simple_javascript,0.5,0.76,38,50
oracle_gate,simple_python,0.5,0.8925,357,400
oracle_gate,irrelevance,0.7,0.8958333333333334,215,240
oracle_gate,live_irrelevance,0.7,0.8789592760180995,777,884
oracle_gate,live_multiple,0.7,0.7283950617283951,767,1053
oracle_gate,live_parallel,0.7,0.8125,13,16
oracle_gate,live_parallel_multiple,0.7,0.625,15,24
oracle_gate,live_relevance,0.7,0.625,10,16
oracle_gate,live_simple,0.7,0.7906976744186046,204,258
oracle_gate,multiple,0.7,0.925,185,200
oracle_gate,parallel,0.7,0.865,173,200
oracle_gate,parallel_multiple,0.7,0.87,174,200
oracle_gate,simple_java,0.7,0.65,65,100
oracle_gate,simple_javascript,0.7,0.7,35,50
oracle_gate,simple_python,0.7,0.8925,357,400
oracle_gate,irrelevance,0.8,0.8958333333333334,215,240
oracle_gate,live_irrelevance,0.8,0.9230769230769231,816,884
oracle_gate,live_multiple,0.8,0.4539411206077873,478,1053
oracle_gate,live_parallel,0.8,0.6875,11,16
oracle_gate,live_parallel_multiple,0.8,0.3333333333333333,8,24
oracle_gate,live_relevance,0.8,0.375,6,16
oracle_gate,live_simple,0.8,0.7209302325581395,186,258
oracle_gate,multiple,0.8,0.88,176,200
oracle_gate,parallel,0.8,0.765,153,200
oracle_gate,parallel_multiple,0.8,0.705,141,200
oracle_gate,simple_java,0.8,0.6,60,100
oracle_gate,simple_javascript,0.8,0.62,31,50
oracle_gate,simple_python,0.8,0.89,356,400
oracle_gate,irrelevance,0.85,0.9333333333333333,224,240
oracle_gate,live_irrelevance,0.85,0.9638009049773756,852,884
oracle_gate,live_multiple,0.85,0.22127255460588793,233,1053
oracle_gate,live_parallel,0.85,0.375,6,16
oracle_gate,live_parallel_multiple,0.85,0.16666666666666666,4,24
oracle_gate,live_relevance,0.85,0.125,2,16
oracle_gate,live_simple,0.85,0.4806201550387597,124,258
oracle_gate,multiple,0.85,0.54,108,200
oracle_gate,parallel,0.85,0.455,91,200
oracle_gate,parallel_multiple,0.85,0.335,67,200
oracle_gate,simple_java,0.85,0.54,54,100
oracle_gate,simple_javascript,0.85,0.54,27,50
oracle_gate,simple_python,0.85,0.6775,271,400
oracle_gate,irrelevance,0.9,0.9583333333333334,230,240
oracle_gate,live_irrelevance,0.9,0.9852941176470589,871,884
oracle_gate,live_multiple,0.9,0.15384615384615385,162,1053
oracle_gate,live_parallel,0.9,0.0625,1,16
oracle_gate,live_parallel_multiple,0.9,0.08333333333333333,2,24
oracle_gate,live_relevance,0.9,0.0,0,16
oracle_gate,live_simple,0.9,0.20930232558139536,54,258
oracle_gate,multiple,0.9,0.42,84,200
oracle_gate,parallel,0.9,0.1,20,200
oracle_gate,parallel_multiple,0.9,0.085,17,200
oracle_gate,simple_java,0.9,0.09,9,100
oracle_gate,simple_javascript,0.9,0.04,2,50
oracle_gate,simple_python,0.9,0.32,128,400
