method,sparsity,task,metric,value,stderr,seconds
dense,0.0,lambada_openai,acc,0.7239,0.0062,554.5
dense,0.0,piqa,acc,0.8025,0.0093,554.5
dense,0.0,piqa,acc_norm,0.8128,0.0091,554.5
dense,0.0,arc_easy,acc,0.8215,0.0079,554.5
dense,0.0,arc_easy,acc_norm,0.798,0.0082,554.5
dense,0.0,arc_challenge,acc,0.5384,0.0146,554.5
dense,0.0,arc_challenge,acc_norm,0.5589,0.0145,554.5
dense,0.0,winogrande,acc,0.7348,0.0124,554.5
dense,0.0,hellaswag,acc,0.5979,0.0049,554.5
dense,0.0,hellaswag,acc_norm,0.7953,0.004,554.5
random,0.25,lambada_openai,acc,0.3955,0.0068,627.4
random,0.25,piqa,acc,0.6213,0.0113,627.4
random,0.25,piqa,acc_norm,0.6257,0.0113,627.4
random,0.25,arc_easy,acc,0.5219,0.0102,627.4
random,0.25,arc_easy,acc_norm,0.5156,0.0103,627.4
random,0.25,arc_challenge,acc,0.302,0.0134,627.4
random,0.25,arc_challenge,acc_norm,0.349,0.0139,627.4
random,0.25,winogrande,acc,0.5777,0.0139,627.4
random,0.25,hellaswag,acc,0.4419,0.005,627.4
random,0.25,hellaswag,acc_norm,0.5941,0.0049,627.4
random,0.5,lambada_openai,acc,0.0161,0.0018,847.4
random,0.5,piqa,acc,0.5011,0.0117,847.4
random,0.5,piqa,acc_norm,0.4973,0.0117,847.4
random,0.5,arc_easy,acc,0.2668,0.0091,847.4
random,0.5,arc_easy,acc_norm,0.2731,0.0091,847.4
random,0.5,arc_challenge,acc,0.2253,0.0122,847.4
random,0.5,arc_challenge,acc_norm,0.2415,0.0125,847.4
random,0.5,winogrande,acc,0.4964,0.0141,847.4
random,0.5,hellaswag,acc,0.2686,0.0044,847.4
random,0.5,hellaswag,acc_norm,0.2854,0.0045,847.4
random,0.75,lambada_openai,acc,0.0,0.0,978.8
random,0.75,piqa,acc,0.5174,0.0117,978.8
random,0.75,piqa,acc_norm,0.5087,0.0117,978.8
random,0.75,arc_easy,acc,0.2386,0.0087,978.8
random,0.75,arc_easy,acc_norm,0.2521,0.0089,978.8
random,0.75,arc_challenge,acc,0.2142,0.012,978.8
random,0.75,arc_challenge,acc_norm,0.2577,0.0128,978.8
random,0.75,winogrande,acc,0.487,0.014,978.8
random,0.75,hellaswag,acc,0.2537,0.0043,978.8
random,0.75,hellaswag,acc_norm,0.2552,0.0044,978.8
